x_muoi,y_muoi,huong_muoi,huong_ban
139.71923307450973,160.21708637745814,-30,105
-146.39623198817503,-90.4827799391514,-9,-120
120.49300004757524,-89.65546430075845,-88,135
-85.60159441943952,58.81116117992249,-168,-63.66297912597656
-212.7238230606262,-16.89533593365636,-14,-81.59046173095703
166.14225157673786,-145.59682399684544,-150,142.74807739257812
-97.95642848648794,92.55775180996878,70,-48.614593505859375
139.12330988379207,-101.35361016664258,-80,124.03511810302734
-214.13235764753242,-19.269982262877726,-62,-98.95991516113281
11.774393898301206,13.05221442684224,-96,59.958984375
202.60679244789256,-123.23796420332232,160,118.87984466552734
-195.04890082088508,-52.35530092102673,-102,-94.84822845458984
-83.82214905122616,152.22572116838919,30,-23.650596618652344
139.38178701370356,48.397393658945084,125,77.84649658203125
44.147631570376774,57.93068274845667,109,25.260196685791016
189.05052453917094,-146.86008906285707,130,128.88941955566406
-187.745968884761,39.4134267472985,151,-84.49029541015625
-113,17,151,-88.92201232910156
-35,9,151,-56.3166618347168
198.96947748567507,-56.00535883036023,153,100.61812591552734
-154.36534855648785,-24.690460451846377,0,-91.78629302978516
-152.36068957552146,147.86415169646344,12,-81.38536071777344
46.8168006966482,17.70865371126466,-144,65.70851135253906
102.68370567742045,-44.94860844195105,-121,123.8002700805664
-123.38228836270586,60.894874563865216,19,-54.86176300048828
-218.36235813599276,16.064783276754586,-138,-85.86961364746094
124.14082545786448,25.84466346231759,16,70.17557525634766
-204.7509691900557,-41.98723373045236,-16,-103.03842163085938
-53.21961873718021,119.15856775658756,116,-31.513309478759766
